start station name,usertype
1 Ave & E 15 St,5339
1 Ave & E 18 St,3312
1 Ave & E 30 St,4389
1 Ave & E 44 St,2940
10 Ave & W 28 St,4759
11 Ave & W 27 St,5680
11 Ave & W 41 St,4242
11 Ave & W 59 St,4238
12 Ave & W 40 St,7288
2 Ave & E 31 St,4027
2 Ave & E 58 St,2975
3 Ave & Schermerhorn St,640
5 Ave & E 29 St,4806
6 Ave & Broome St,2856
6 Ave & Canal St,2864
6 Ave & W 33 St,5366
8 Ave & W 31 St,14493
8 Ave & W 33 St,6938
8 Ave & W 52 St,4184
9 Ave & W 14 St,4938
9 Ave & W 16 St,5131
9 Ave & W 18 St,3462
9 Ave & W 22 St,5185
9 Ave & W 45 St,4772
Adelphi St & Myrtle Ave,1207
Allen St & E Houston St,4471
Allen St & Hester St,3897
Allen St & Rivington St,4477
Ashland Pl & Hanson Pl,35
Atlantic Ave & Fort Greene Pl,1659
Atlantic Ave & Furman St,1500
Avenue D & E 12 St,829
Avenue D & E 3 St,1583
Avenue D & E 8 St,1222
Bank St & Hudson St,3449
Bank St & Washington St,3003
Barclay St & Church St,6319
Barrow St & Hudson St,6933
Bayard St & Baxter St,3024
Bedford Ave & S 9 St,284
Bialystoker Pl & Delancey St,2508
Bond St & Schermerhorn St,1134
Broad St & Bridge St,1450
Broadway & Battery Pl,3503
Broadway & Berry St,1001
Broadway & E 14 St,8118
Broadway & E 22 St,7426
Broadway & W 24 St,6801
Broadway & W 29 St,4551
Broadway & W 32 St,4362
Broadway & W 36 St,2366
Broadway & W 37 St,2232
Broadway & W 39 St,3368
Broadway & W 41 St,4141
Broadway & W 49 St,4846
Broadway & W 51 St,3415
Broadway & W 53 St,2396
Broadway & W 55 St,3766
Broadway & W 58 St,5784
Broadway & W 60 St,8793
Brooklyn Bridge Park - Pier 2,51
Bus Slip & State St,2909
Cadman Plaza E & Red Cross Pl,1350
Cadman Plaza E & Tillary St,1103
Cadman Plaza W & Pierrepont St,542
Cadman Plaza West & Montague St,1592
Canal St & Rutgers St,4190
Carlton Ave & Flushing Ave,652
Carlton Ave & Park Ave,521
Carmine St & 6 Ave,7644
Catherine St & Monroe St,1684
Central Park S & 6 Ave,7519
Centre St & Chambers St,7144
Centre St & Worth St,2641
Cherry St,1759
Christopher St & Greenwich St,7579
Clark St & Henry St,1767
Clermont Ave & Lafayette Ave,789
Clermont Ave & Park Ave,471
Cleveland Pl & Spring St,8087
Cliff St & Fulton St,2695
Clinton Ave & Flushing Ave,499
Clinton Ave & Myrtle Ave,1477
Clinton St & Grand St,2254
Clinton St & Joralemon St,1224
Clinton St & Tillary St,988
Columbia Heights & Cranberry St,791
Columbia St & Rivington St,1500
Concord St & Bridge St,473
Cumberland St & Lafayette Ave,864
DeKalb Ave & Hudson Ave,1388
DeKalb Ave & S Portland Ave,899
DeKalb Ave & Skillman St,480
DeKalb Ave & Vanderbilt Ave,1070
Dean St & 4 Ave,1532
Division St & Bowery,2410
Duane St & Greenwich St,1819
Duffield St & Willoughby St,885
E 10 St & 5 Ave,2975
E 10 St & Avenue A,4873
E 11 St & 1 Ave,3830
E 11 St & 2 Ave,4813
E 11 St & Broadway,3078
E 12 St & 3 Ave,5040
E 13 St & Avenue A,3889
E 14 St & Avenue B,5397
E 15 St & 3 Ave,4667
E 16 St & 5 Ave,5148
E 16 St & Irving Pl,3385
E 17 St & Broadway,10073
E 19 St & 3 Ave,3565
E 2 St & 2 Ave,3530
E 2 St & Avenue B,3929
E 2 St & Avenue C,2480
E 20 St & 2 Ave,4336
E 20 St & FDR Drive,3085
E 20 St & Park Ave,4281
E 23 St & 1 Ave,4710
E 24 St & Park Ave S,4347
